id,Turno Carga,equipo_acarreo,operador_acarreo,material,flota_carguio,equipo_carguio,duracion_llegada,duracion_acarreo,duracion_descarga,duracion_viajando_vacio,tonelaje,efh_cargado_km,efh_vacio_km,distancia_cargado_km,distancia_vacia_km,velocidad_cargado,velocidad_vacio
1139650,B,Equipo_acarreo 14,Operador 25,Desmonte,Flota_carguio 2,Equipo_carguio 3,2,731,28,376.2,280.0,6.09,3.76,3.35,3.37,16.33,32.15
1139651,B,Equipo_acarreo 24,Operador 19,Desmonte,Flota_carguio 2,Equipo_carguio 2,32,190,44,216.0,266.0,1.58,2.16,1.94,1.89,36.58,36.26
1139653,B,Equipo_acarreo 9,Operador 130,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,8,942,40,361.8,292.0,7.85,3.62,3.48,3.16,13.11,31.32
1139654,B,Equipo_acarreo 17,Operador 17,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,14,786,40,475.2,299.0,6.55,4.75,3.88,3.73,17.59,33.01
1139655,B,Equipo_acarreo 27,Operador 12,Desmonte,Flota_carguio 3,Equipo_carguio 7,328,274,58,168.0,273.0,2.28,1.68,1.45,1.32,19.07,28.36
1139656,B,Equipo_acarreo 1,Operador 9,Desmonte,Flota_carguio 2,Equipo_carguio 3,44,794,42,388.2,289.0,6.62,3.88,3.41,3.37,15.21,31.49
1139657,B,Equipo_acarreo 21,Operador 23,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,224,36,199.8,301.0,1.87,2.0,1.96,1.89,31.46,34.64
1139658,B,Equipo_acarreo 3,Operador 28,Desmonte,Flota_carguio 2,Equipo_carguio 5,74,866,46,358.2,300.0,7.22,3.58,3.41,3.28,13.92,33.94
1139659,B,Equipo_acarreo 26,Operador 132,Desmonte,Flota_carguio 2,Equipo_carguio 2,2,196,34,192.0,289.0,1.63,1.92,1.96,1.94,35.87,36.47
1139660,B,Equipo_acarreo 23,Operador 31,Desmonte,Flota_carguio 2,Equipo_carguio 3,13,766,34,351.0,286.0,6.38,3.51,3.35,3.28,15.59,34.97
1139661,B,Equipo_acarreo 6,Operador 6,Desmonte,Flota_carguio 3,Equipo_carguio 7,362,272,34,166.2,284.0,2.27,1.66,1.55,1.39,20.46,30.06
1139662,B,Equipo_acarreo 25,Operador 2,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 6,0,114,46,102.0,288.0,0.95,1.02,0.62,0.57,19.27,20.55
1139663,B,Equipo_acarreo 22,Operador 22,Desmonte,Flota_carguio 2,Equipo_carguio 3,5,882,34,376.2,295.0,7.35,3.76,3.42,3.28,13.73,31.75
1139664,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,258,56,216.0,300.0,2.15,2.16,1.94,1.93,26.99,32.2
1139665,B,Equipo_acarreo 7,Operador 7,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,19,984,44,379.8,294.0,8.2,3.8,3.46,2.96,12.52,28.56
1139666,B,Equipo_acarreo 24,Operador 19,Desmonte,Flota_carguio 2,Equipo_carguio 2,20,202,34,180.0,294.0,1.68,1.8,1.94,1.94,34.62,38.86
1139667,B,Equipo_acarreo 13,Operador 13,Desmonte,Flota_carguio 2,Equipo_carguio 5,8,794,38,450.0,295.0,6.62,4.5,3.5,3.56,15.54,29.64
1139669,B,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,2,366,40,298.2,292.0,3.05,2.98,2.79,2.93,27.41,35.71
1139670,B,Equipo_acarreo 21,Operador 23,Desmonte,Flota_carguio 2,Equipo_carguio 2,59,218,38,244.8,299.0,1.82,2.45,1.95,1.89,32.25,34.84
1139671,B,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 3,Equipo_carguio 7,306,222,42,175.8,268.0,1.85,1.76,1.45,1.39,23.54,28.2
1139672,B,Equipo_acarreo 26,Operador 132,Desmonte,Flota_carguio 2,Equipo_carguio 2,6,184,34,204.0,282.0,1.53,2.04,1.91,1.92,37.43,35.66
1139673,B,Equipo_acarreo 2,Operador 10,Desmonte,Flota_carguio 2,Equipo_carguio 3,2,794,30,388.2,289.0,6.62,3.88,3.38,3.37,15.02,31.05
1139674,B,Equipo_acarreo 10,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 5,6,762,32,367.8,297.0,6.35,3.68,3.5,3.28,16.32,34.21
1139675,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 2,56,246,40,216.0,287.0,2.05,2.16,1.94,1.94,28.6,32.39
1139676,B,Equipo_acarreo 25,Operador 2,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 6,0,130,48,210.0,287.0,1.08,2.1,0.63,1.49,17.31,25.39
1139677,B,Equipo_acarreo 14,Operador 25,Desmonte,Flota_carguio 2,Equipo_carguio 3,2,832,38,355.79999999999995,296.0,6.93,3.56,3.4,3.34,14.48,33.76
1139678,B,Equipo_acarreo 24,Operador 19,Desmonte,Flota_carguio 2,Equipo_carguio 2,28,218,36,202.2,283.0,1.82,2.02,1.97,1.96,32.49,35.39
1139680,B,Equipo_acarreo 1,Operador 9,Desmonte,Flota_carguio 2,Equipo_carguio 3,6,796,30,819.0,299.0,6.63,8.19,3.39,5.68,15.14,27.46
1139681,B,Equipo_acarreo 6,Operador 6,Desmonte,Flota_carguio 3,Equipo_carguio 7,34,272,36,175.8,284.0,2.27,1.76,1.51,1.36,19.98,28.07
1139682,B,Equipo_acarreo 21,Operador 23,Desmonte,Flota_carguio 2,Equipo_carguio 2,75,262,32,199.2,304.0,2.18,1.99,2.09,1.89,28.82,36.76
1139683,B,Equipo_acarreo 9,Operador 130,Desmonte,Flota_carguio 2,Equipo_carguio 5,6,752,36,625.2,294.0,6.27,6.25,3.49,5.15,16.51,32.84
1139684,B,Equipo_acarreo 27,Operador 12,Desmonte,Flota_carguio 3,Equipo_carguio 7,342,300,44,174.0,292.0,2.5,1.74,1.51,1.37,18.23,28.45
1139685,B,Equipo_acarreo 23,Operador 31,Desmonte,Flota_carguio 2,Equipo_carguio 3,39,746,30,361.8,278.0,6.22,3.62,3.35,3.33,16.08,33.18
1139686,B,Equipo_acarreo 17,Operador 17,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,25,918,50,751.1999999999999,276.0,7.65,7.51,3.35,3.51,12.86,30.51
1139687,B,Equipo_acarreo 26,Operador 132,Desmonte,Flota_carguio 2,Equipo_carguio 2,40,200,40,250.2,288.0,1.67,2.5,1.95,1.89,35.1,33.73
1139688,B,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,6,384,46,295.79999999999995,287.0,3.2,2.96,2.83,2.93,26.61,35.85
1139689,B,Equipo_acarreo 4,Operador 104,Desmonte,Flota_carguio 2,Equipo_carguio 3,36,732,46,409.8,288.0,6.1,4.1,3.41,3.79,16.55,33.02
1139690,B,Equipo_acarreo 3,Operador 28,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,75,830,50,433.8,295.0,6.92,4.34,3.87,3.8,16.55,33.23
1139691,B,Equipo_acarreo 22,Operador 22,Desmonte,Flota_carguio 2,Equipo_carguio 3,26,732,38,348.0,290.0,6.1,3.48,3.07,3.13,14.8,32.89
1139692,B,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 3,Equipo_carguio 7,408,264,40,199.8,284.0,2.2,2.0,1.53,1.37,21.17,24.59
1139693,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 2,22,282,36,241.8,298.0,2.35,2.42,2.09,2.09,26.68,31.17
1139694,B,Equipo_acarreo 13,Operador 13,Desmonte,Flota_carguio 2,Equipo_carguio 5,8,660,44,346.2,296.0,5.5,3.46,3.14,3.13,16.73,32.44
1139695,B,Equipo_acarreo 24,Operador 19,Desmonte,Flota_carguio 2,Equipo_carguio 2,6,216,38,280.79999999999995,277.0,1.8,2.81,2.13,1.89,35.46,31.77
1139696,B,Equipo_acarreo 7,Operador 7,Desmonte,Flota_carguio 2,Equipo_carguio 3,32,682,28,337.8,283.0,5.68,3.38,3.03,3.24,15.65,34.23
1139697,B,Equipo_acarreo 25,Operador 2,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 6,6,208,40,193.8,282.0,1.73,1.94,1.47,1.49,25.68,28.32
1139698,B,Equipo_acarreo 12,Operador 26,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,10,918,38,346.8,282.0,7.65,3.47,3.51,3.51,13.39,31.86
1139700,B,Equipo_acarreo 2,Operador 10,Desmonte,Flota_carguio 2,Equipo_carguio 3,6,712,40,361.8,289.0,5.93,3.62,3.08,3.12,15.28,30.89
1139701,B,Equipo_acarreo 6,Operador 6,Desmonte,Flota_carguio 3,Equipo_carguio 7,386,286,34,168.0,293.0,2.38,1.68,1.53,1.38,19.33,29.78
1139702,B,Equipo_acarreo 21,Operador 23,Desmonte,Flota_carguio 2,Equipo_carguio 2,153,266,38,234.0,287.0,2.22,2.34,2.16,2.12,29.2,32.87
